date,BYR,KZT,UAH,USD,EUR
2003-01,0.0164252,0.203925,5.9418999999999995,31.7844,33.2719
2003-02,0.0162562,0.205576,5.94182,31.8345,34.429
2003-03,0.015988699999999998,0.20819400000000002,5.89454,31.5729,33.9409
2003-04,0.0156963,0.206202,5.85471,31.3801,33.9815
2003-05,0.015331,0.204875,5.77205,31.1021,34.5513
2003-06,0.0149573,0.20438800000000001,5.622529999999999,30.64,35.9101
2003-07,0.0147152,0.205946,5.64921,30.3809,34.7223
2003-08,0.014570399999999999,0.20635799999999999,5.64751,30.2791,34.3395
2003-09,0.0145228,0.207069,5.67734,30.5458,33.634
2003-10,0.0144789,0.205656,5.6789700000000005,30.6142,35.6043
2003-11,0.0140383,0.20292300000000002,5.5546500000000005,29.9451,34.7992
2003-12,0.0138099,0.20265,5.50938,29.7038,35.6624
2004-01,0.013575100000000001,0.20567,5.474,29.4545,37.0979
2004-02,0.013189600000000001,0.204423,5.28332,28.5252,35.5281
2004-03,0.0132283,0.204959,5.29795,28.5162,35.7593
2004-04,0.013260999999999998,0.205346,5.2941,28.5151,34.9082
2004-05,0.0134213,0.209668,5.40129,28.9612,34.6289
2004-06,0.013446,0.21172000000000002,5.43363,28.9993,35.3907
2004-07,0.0134428,0.21367899999999998,5.443,29.0471,35.0889
2004-08,0.0134791,0.213789,5.4604,29.1405,35.1609
2004-09,0.0135205,0.21452100000000002,5.47267,29.2591,35.3713
2004-10,0.0134572,0.217488,5.43157,29.2224,36.0312
2004-11,0.0132094,0.218149,5.34717,28.7651,36.7819
2004-12,0.0128957,0.21645199999999998,5.25728,28.1496,37.3264
2005-01,0.0127492,0.21343800000000002,5.1233699999999995,27.7487,37.8409
2005-02,0.0129161,0.216228,5.28382,28.1136,36.5899
2005-03,0.0128099,0.212837,5.22822,27.7007,36.72
2005-04,0.0129155,0.21023499999999998,5.32108,27.8548,36.0274
2005-05,0.0129272,0.211697,5.482950000000001,27.8364,35.7642
2005-06,0.0131016,0.21324,5.5555900000000005,28.1946,34.9134
2005-07,0.013303800000000001,0.21209,5.67558,28.6282,34.6258
2005-08,0.0132954,0.210407,5.6771,28.595,34.8173
2005-09,0.0132644,0.211038,5.65612,28.5566,34.879
2005-10,0.0132558,0.213347,5.59429,28.5348,34.3074
2005-11,0.0132476,0.212574,5.54059,28.503,34.3946
2005-12,0.013381800000000001,0.21463100000000002,5.66375,28.7792,33.9393
2006-01,0.0132286,0.212913,5.60848,28.4821,34.3352
2006-02,0.0130756,0.213002,5.49284,28.1305,34.0492
2006-03,0.0130665,0.215807,5.50315,28.1211,33.3291
2006-04,0.0128746,0.215729,5.42258,27.6996,33.6273
2006-05,0.012669399999999999,0.218976,5.37188,27.2424,34.2546
2006-06,0.0125603,0.222155,5.3830100000000005,26.9355,34.7064
2006-07,0.012571500000000001,0.22770700000000002,5.34824,26.9423,34.2383
2006-08,0.0125158,0.22661,5.32,26.8197,34.2112
2006-09,0.012478,0.213213,5.290979999999999,26.7295,34.318
2006-10,0.01251,0.210643,5.2973,26.7948,33.9651
2006-11,0.0125036,0.209511,5.28414,26.7811,33.9852
2006-12,0.0122874,0.205628,5.20303,26.3081,34.6899
2007-01,0.012342800000000001,0.210889,5.23175,26.4465,34.4862
2007-02,0.0123467,0.21032299999999998,5.23823,26.5484,34.3802
2007-03,0.0121718,0.21000800000000003,5.16567,26.1481,34.539
2007-04,0.012117000000000001,0.21076499999999998,5.13658,25.9947,34.7107
2007-05,0.011981799999999999,0.21435700000000002,5.10088,25.7564,34.9823
2007-06,0.012049200000000001,0.211337,5.13709,25.9043,34.8128
2007-07,0.0119683,0.21131,5.096629999999999,25.7288,34.8368
2007-08,0.0118917,0.206631,5.07778,25.5448,35.0015
2007-09,0.011914300000000001,0.202803,5.095280000000001,25.6262,35.0233
2007-10,0.0115626,0.20558099999999999,4.94168,24.8784,35.4443
2007-11,0.011457499999999999,0.204098,4.877129999999999,24.6724,35.6492
2007-12,0.0113252,0.20202,4.81239,24.4171,36.0055
2008-01,0.0113286,0.202517,4.80301,24.4387,35.9762
2008-02,0.0113498,0.203185,4.7900100000000005,24.4262,36.29
2008-03,0.011176199999999999,0.198601,4.70975,24.0023,36.5099
2008-04,0.010944200000000001,0.194725,4.66203,23.5027,37.0873
2008-05,0.0110478,0.19649899999999998,4.73583,23.6588,36.8959
2008-06,0.0111183,0.196814,4.94437,23.7473,36.8701
2008-07,0.011014300000000001,0.193826,4.96359,23.4068,36.971
2008-08,0.0110752,0.19483,5.01576,23.4186,36.5752
2008-09,0.0116795,0.20609100000000002,5.28032,24.667,36.1248
2008-10,0.0120046,0.211555,5.0052900000000005,25.3718,36.4999
2008-11,0.0128214,0.226138,4.52767,27.0981,34.4092
2008-12,0.0130443,0.231981,3.7155500000000004,27.9409,35.4095
2009-01,0.0133537,0.242475,3.82952,29.3916,41.4275
2009-02,0.013140800000000001,0.29622699999999996,4.70744,36.1767,46.0457
2009-03,0.0126493,0.240199,4.22481,36.1644,45.5201
2009-04,0.011946199999999999,0.224651,4.21158,33.9032,44.8946
2009-05,0.0116681,0.21861,4.060840000000001,32.974,43.9939
2009-06,0.0110551,0.20457899999999998,4.03201,30.7441,43.4875
2009-07,0.0109368,0.206222,4.05732,31.0385,43.8512
2009-08,0.010931,0.20668299999999998,3.8796100000000004,31.1533,43.9978
2009-09,0.011266700000000001,0.211097,3.7657800000000003,31.8397,45.4321
2009-10,0.0108531,0.198812,3.60898,30.0087,43.8877
2009-11,0.01069,0.19363499999999997,3.6020200000000004,29.1944,43.0588
2009-12,0.0104451,0.195486,3.6267899999999997,29.0687,43.7658
2010-01,0.0105395,0.20323899999999998,3.7497,30.1851,43.4605
2010-02,0.0105153,0.205424,3.7881100000000005,30.3996,42.219
2010-03,0.010211499999999998,0.20326,3.73099,29.93,40.7377
2010-04,0.009901199999999999,0.20069099999999998,3.6999000000000004,29.4956,39.5713
2010-05,0.0098426,0.199042,3.65885,29.1537,38.6986
2010-06,0.0102433,0.209579,3.8788600000000004,30.74,37.8133
2010-07,0.0103529,0.21180800000000002,3.94569,31.2554,38.2097
2010-08,0.010146599999999999,0.20424299999999998,3.8247500000000003,30.1861,39.4653
2010-09,0.0102446,0.20948699999999998,3.91364,30.8669,39.0127
2010-10,0.010133699999999999,0.206746,3.8438600000000003,30.5126,41.4392
2010-11,0.0102171,0.208586,3.8709200000000004,30.7738,42.9848
2010-12,0.010334300000000001,0.212229,3.93316,31.3335,41.0814
2011-01,0.010113500000000001,0.20582899999999998,3.80929,30.3505,40.4876
2011-02,0.0098944,0.20271999999999998,3.75101,29.8018,40.5811
2011-03,0.009561,0.197992,3.6412999999999998,28.9028,39.8136
2011-04,0.00936185,0.19567199999999998,3.57682,28.5162,40.3875
2011-05,0.00906928,0.187488,3.42971,27.3348,40.5211
2011-06,0.00562083,0.19240500000000002,3.50655,27.9805,40.2444
2011-07,0.005613819999999999,0.19110499999999997,3.48909,27.8726,40.4153
2011-08,0.00554959,0.188142,3.44113,27.5204,39.6431
2011-09,0.00567546,0.19733799999999999,3.62005,28.9278,41.7631
2011-10,0.00569326,0.216864,4.015610000000001,32.11,43.4191
2011-11,0.0035440600000000004,0.20384,3.76321,30.1245,42.1833
2011-12,0.0036511699999999996,0.212572,3.91498,31.4001,41.7559
2012-01,0.0037630299999999997,0.21451699999999999,3.96676,31.8729,40.7591
2012-02,0.00362164,0.204039,3.7731000000000003,30.3131,39.9678
2012-03,0.00359669,0.196475,3.63066,29.0253,39.1029
2012-04,0.00365934,0.19821000000000003,3.65296,29.3479,39.1677
2012-05,0.00364855,0.198344,3.6557699999999995,29.3708,38.8223
2012-06,0.00394219,0.222347,4.07367,32.9173,40.8076
2012-07,0.0039097,0.217897,4.02658,32.5287,41.0642
2012-08,0.0039037300000000002,0.21467,3.97735,32.2058,39.5101
2012-09,0.0038724,0.21762,4.010949999999999,32.5669,40.7249
2012-10,0.0036769199999999998,0.208289,3.8357599999999996,31.2538,40.1455
2012-11,0.00367811,0.208052,3.83643,31.3743,40.6548
2012-12,0.00359103,0.204697,3.7621200000000004,30.811,40.0759
2013-01,0.0035149,0.20176100000000002,3.7720399999999996,30.4215,39.8096
2013-02,0.0034781100000000004,0.19898,3.69429,30.0161,40.7138
2013-03,0.00354178,0.202936,3.74477,30.5124,40.1024
2013-04,0.0035923,0.206186,3.8244599999999997,31.1093,39.8168
2013-05,0.0035971400000000004,0.20531300000000002,3.82189,31.0433,40.6264
2013-06,0.00365914,0.209922,3.9044600000000003,31.7979,41.4486
2013-07,0.0037268,0.216379,4.02915,32.8517,42.8025
2013-08,0.00371366,0.21516400000000002,4.0676000000000005,33.033,43.7786
2013-09,0.0036885399999999997,0.21705100000000002,4.09233,33.2522,43.9561
2013-10,0.0035677,0.21120899999999998,3.9658,32.4839,43.8143
2013-11,0.0034657800000000003,0.208014,3.9176499999999996,32.0758,43.9406
2013-12,0.00354906,0.214843,4.02773,33.1482,45.0882
2014-01,0.0034233400000000004,0.21175999999999998,3.9634300000000002,32.6587,45.0559
2014-02,0.00364182,0.22623100000000002,4.1856,35.18,47.6408
2014-03,0.0036942,0.196347,3.3817500000000003,36.1847,49.5839
2014-04,0.00360013,0.195537,3.16492,35.6053,48.968
2014-05,0.0035758499999999998,0.196219,3.11989,35.7227,49.3188
2014-06,0.0034475,0.190098,2.95667,34.8887,47.5463
2014-07,0.00331798,0.184418,2.88029,33.8434,46.1827
2014-08,0.0034344799999999997,0.19364,2.89692,35.4438,47.4699
2014-09,0.0035586399999999996,0.204926,2.87988,37.2945,48.9677
2014-10,0.0037119300000000004,0.21647099999999997,3.0412,39.3836,49.9817
2014-11,0.00391078,0.232011,3.2272799999999995,41.9627,52.7219
2014-12,0.00476165,0.285327,3.44942,51.8068,64.4425
2015-01,0.00387846,0.308143,3.55525,56.2376,68.3681
2015-02,0.0044456899999999995,0.37736800000000004,4.459490000000001,69.664,78.79
2015-03,0.00416219,0.335978,2.28348,62.2248,69.5424
2015-04,0.00392177,0.310447,2.45842,57.65,62.0487
2015-05,0.00358366,0.275236,2.40653,51.1388,57.1578
2015-06,0.0035332000000000002,0.284047,2.50933,52.8213,57.702
2015-07,0.00365813,0.299883,2.65911,55.8413,62.3803
2015-08,0.0039649,0.321947,2.85323,60.3458,66.0002
2015-09,0.00383862,0.27856000000000003,3.06737,66.7152,74.8478
2015-10,0.00371917,0.242588,3.08549,65.7364,73.776
2015-11,0.0036639899999999998,0.226802,2.77388,63.7993,70.3961
2015-12,0.0036957,0.216996,2.80998,66.737,70.6478
2016-01,0.0039041699999999998,0.213821,3.0352,72.9299,79.6395
2016-02,0.003632,0.211636,3.00498,76.3264,82.8141
2016-03,0.00353185,0.21701,2.80072,75.8994,83.1023
2016-04,0.00336834,0.19741399999999998,2.5849599999999997,67.8552,76.9207
2016-05,0.00341092,0.199259,2.62847,66.1718,76.0512
2016-06,0.00333483,0.19654,2.62358,65.9962,73.4406
2016-07,31.8884,0.189448,2.5846,64.1755,71.2926
2016-08,33.2688,0.18726900000000002,2.65788,65.9553,73.6523
2016-09,33.3096,0.19169899999999998,2.50013,65.2535,72.6859
2016-10,32.9415,0.188946,2.44348,63.396,70.9338
2016-11,33.2111,0.188664,2.47911,63.2174,69.2863
2016-12,32.9652,0.19091999999999998,2.54837,65.2382,69.3417
2017-01,30.5826,0.180764,2.22043,59.8961,63.1125
2017-02,31.0598,0.18574300000000002,2.2163399999999998,60.0851,64.285
2017-03,30.7658,0.18537700000000001,2.13333,57.9627,61.3883
2017-04,29.8935,0.178432,2.0707,55.9606,59.8107
2017-05,30.5208,0.180573,2.14548,56.9518,62.1515
2017-06,30.3548,0.181531,2.1548100000000003,56.6876,63.4107
2017-07,30.6193,0.183719,2.28058,59.3862,67.8072
2017-08,30.8809,0.18218399999999998,2.32308,60.0633,70.4603
2017-09,30.2638,0.173291,2.2767,58.5454,69.6222
2017-10,29.4321,0.16938199999999998,2.16814,57.8134,67.9076
2017-11,29.4417,0.17363900000000002,2.16373,58.1179,67.6434
2017-12,29.0755,0.176847,2.1565000000000003,58.5814,69.5185
2018-01,28.2996,0.172671,2.02435,57.0463,68.2103
2018-02,28.3829,0.17416,2.0181,56.184,69.9322
2018-03,28.7697,0.17596299999999998,2.10351,56.3742,68.9062
2018-04,29.3694,0.179372,2.18979,57.285,70.6038
2018-05,31.4521,0.192382,2.4217400000000002,63.486,76.1261
2018-06,30.8398,0.188281,2.37483,62.0188,72.5806
2018-07,31.8003,0.184667,2.40714,63.1394,73.469
2018-08,31.4374,0.17957599999999999,2.3199899999999998,62.3497,73.0738
2018-09,32.6745,0.187126,2.4086600000000002,68.0447,79.4966
2018-10,31.0265,0.18016,2.3261600000000002,65.5745,75.9877
2018-11,30.9562,0.17775300000000002,2.3348,65.5962,74.4189
2018-12,31.2217,0.178169,2.35508,66.5335,75.7484
2019-01,31.1202,0.17857900000000002,2.38252,67.0795,76.9066
2019-02,30.406,0.171867,2.35499,65.3577,75.2006
2019-03,30.8212,0.17573799999999998,2.45673,65.8895,74.9691
2019-04,30.6076,0.172183,2.40497,65.4176,73.4967
2019-05,30.6906,0.169558,2.44839,64.6314,72.3096
2019-06,31.1884,0.170928,2.4333,65.3834,72.8436
2019-07,30.8726,0.165485,2.40665,63.0541,71.3962
2019-08,31.1648,0.164966,2.53276,63.4172,70.7355
2019-09,31.6396,0.171588,2.63521,66.6235,73.1726
2019-10,31.1266,0.166503,2.67497,64.6407,70.7169
2019-11,31.099,0.164083,2.56843,63.7748,71.1918
2019-12,30.5491,0.166616,2.68766,64.4097,70.973
2020-01,29.3545,0.161665,2.61205,61.9057,69.3777
2020-02,29.5495,0.16653700000000002,2.5229600000000003,63.1385,69.5976
2020-03,29.686,0.17407599999999998,2.6803,66.3274,73.4178
2020-04,29.7155,0.173999,2.80394,76.4074,82.6346
2020-05,30.1832,0.171298,2.6979800000000003,72.7263,79.1189
2020-06,29.0198,0.170579,2.59886,69.7114,77.6376
2020-07,29.2106,0.174099,2.64194,70.4413,78.9929
2020-08,30.089,0.174086,2.65196,73.4261,87.2889
2020-09,27.7866,0.175623,2.67537,73.8039,87.8266
2020-10,30.0739,0.18199500000000002,2.78337,78.7847,92.4302
2020-11,30.3027,0.184892,2.82349,80.5749,93.757
2020-12,29.4583,0.179066,2.67321,76.1999,91.2037
2021-01,28.5234,0.17525200000000002,2.60711,73.8757,90.7932
2021-02,28.8177,0.178083,2.68977,75.5053,91.5426
2021-03,28.4263,0.17701799999999998,2.64517,74.0448,89.4461
2021-04,28.8483,0.17780100000000001,2.71942,75.6373,88.7452
2021-05,29.2398,0.174178,2.69783,74.8451,90.585
2021-06,28.9732,0.170912,2.66893,73.2965,89.3778
2021-07,28.749,0.16977799999999998,2.67074,72.7234,86.5118
2021-08,29.2742,0.171925,2.72167,73.0156,86.7717
2021-09,29.2726,0.17175200000000002,2.72558,73.2781,86.666
2021-10,29.0065,0.170653,2.7288699999999997,72.6642,84.305
2021-11,29.1194,0.166031,2.70457,71.0863,82.1687
2021-12,29.4331,0.170443,2.74319,74.8926,84.8234
2022-01,29.1038,0.172328,2.73005,75.1315,85.1315
2022-02,29.8444,0.178379,2.71136,77.4702,86.5032
2022-03,33.9264,0.188393,3.10053,93.5589,104.4772
2022-04,28.3398,0.177349,2.82427,83.4097,92.493
2022-05,26.6319,0.157178,2.34942,69.416,72.7815
2022-06,23.9111,0.144147,2.0778,61.6069,62.7397
2022-07,20.4623,0.11291000000000001,1.77865,52.5123,54.6405
2022-08,23.3563,0.130061,1.68015,62.0506,63.2468
2022-09,23.5804,0.128687,1.6319500000000002,60.2386,60.2141
2022-10,22.2952,0.115957,1.4978,55.2987,52.7379
2022-11,24.8851,0.131955,1.6684999999999999,61.6229,61.1196
2022-12,25.0279,0.129967,1.6484400000000001,60.8803,63.0504
