name,salary,area_name,published_at,currency
"Software Engineer for Windows applications, COM-components development",,Москва,2003-10-07 00:00:00.040,
Технический консультант.,12218.32,Санкт-Петербург,2003-09-19 14:42:13.040,USD
Специалист по технической поддержке - сопровождению,,Москва,2003-08-28 00:00:00.040,
"Менеджер по работе с партнерами, региональному развитию бизнеса",,Москва,2003-08-28 00:00:00.040,
Стажер отдела консалтинга и внедрения,,Москва,2003-08-28 00:00:00.040,
Программист-разработчик Delphi+Pl/SQL (Oracle),,Москва,2003-08-28 00:00:00.040,
Консультант по внедрению ERP-системы,,Москва,2003-08-28 00:00:00.040,
SAP R/3 functional consultant,,Москва,2003-01-24 21:30:49.030,
Account Manager,,Москва,2003-10-06 00:00:00.040,
IT Sales Manager,,Москва,2003-10-06 00:00:00.040,
Broadcast encryption engineer,63568.8,Южная Корея,2003-01-31 18:24:11.030,USD
Embedded OS engineering manager,63568.8,Москва,2003-01-31 18:25:43.030,USD
Начальник Управления автоматизации крупного банка (ТОР-30),122183.2,Москва,2003-09-09 00:00:00.040,USD
Coordinator on Intellectual Property Projects,,Москва,2003-02-12 10:40:50.030,
Outsourcing Projects Coordinator,,Москва,2003-02-14 16:31:06.030,
Software engineer Project Leader,,Москва,2003-03-11 14:47:06.030,
Localization Project Coordinator,,Москва,2003-03-19 14:22:04.030,
Software engineer (Project Leader ),,Москва,2003-03-19 15:25:12.030,
Software engineer (Project Leader ),,Москва,2003-03-19 15:26:37.030,
Software engineer (Project Leader),,Москва,2003-03-19 15:27:50.030,
Специалист (настройщик) модуля BASIS SAP R/3,91842.6,Москва,2003-10-06 00:00:00.040,USD
Менеджер по продвижению программных продуктов,31380.1,Москва,2003-04-01 18:28:37.040,USD
Технический писатель,9414.029999999999,Москва,2003-04-01 18:35:22.040,USD
Key account manager (продажа компьютерного оборудования),45818.7,Москва,2003-09-19 00:00:00.040,USD
Системный инженер,36737.04,Москва,2003-10-06 00:00:00.040,USD
"Project manager (ERP, SCM)",61091.6,Москва,2003-09-05 00:00:00.040,USD
Бизнес-аналитик,37322.52,Москва,2003-05-14 16:18:16.040,USD
Специалист по работе с неактивными запасами,,Москва,2003-05-21 17:45:08.040,
Аccount manager,91637.4,Москва,2003-09-10 00:00:00.040,USD
Менеджер по работес ключевывми клиентами,,Москва,2003-05-23 14:13:14.040,
Менеджер по продажам,,Москва,2003-10-06 00:00:00.040,
Консультант по внедрению Adaytum в крупную западную компанию.,,Москва,2003-05-26 12:57:36.040,
"Консультант по продажам в крупную западную консалтинговую компанию (внедрение ERP, EPP)",,Москва,2003-05-26 12:58:46.040,
Senior Marketing Manager (IT),,Москва,2003-05-26 17:27:49.040,
Менеджер по работе с клиентами,59890.2,Москва,2003-11-24 00:00:00.030,USD
Вице-президент по консалтингу,,Москва,2003-09-09 00:00:00.040,
Корреспондент-редактор медицинского интернет-портала,24436.64,Москва,2003-09-21 00:00:00.040,USD
Редактор медицинского портала,29703.800000000003,Москва,2003-12-11 00:00:00.030,USD
Технический писатель,23956.08,Москва,2003-11-19 00:00:00.030,USD
Специалист по разработке программных продуктов,,Москва,2003-11-03 00:00:00.030,
Продакт-менеджер,153071.0,Москва,2003-10-21 00:00:00.040,USD
Руководитель представительства,33640.0801,Челябинск,2003-08-28 00:00:00.040,USD
Sales representative,30545.8,Москва,2003-09-06 00:00:00.040,USD
Специалист по оптимизации товарных запасов,49024.0,Москва,2003-06-11 19:11:29.040,USD
Sales Manager (Oil and Gas),,Москва,2003-10-06 00:00:00.040,
Sales Manager,,Москва,2003-10-06 00:00:00.040,
Менеджер по комплектующим в ИТ,,Москва,2003-12-02 00:00:00.030,
Системный администратор,,Москва,2003-06-18 16:44:18.040,
Сервис-менеджер,24512.0,Москва,2003-06-18 17:38:56.040,USD
Менеджер по закупкам,30640.0,Москва,2003-06-19 12:41:24.040,USD
Sales manager,30640.0,Москва,2003-06-19 14:37:30.040,USD
Product manager (Switch/ Multimedia),,Москва,2003-06-25 10:37:35.040,
Сервис-инженер.,10597.685,Санкт-Петербург,2003-08-19 00:00:00.040,USD
Менеджер по работе с корпоративными заказчиками.,,Санкт-Петербург,2003-08-19 00:00:00.040,
Программист группы внедрения,45921.3,Москва,2003-10-13 00:00:00.040,USD
"Менджер по продажам проектов АСКУЭ, АСДУЭР, АСУ ТП",,Москва,2003-06-27 10:55:53.040,
"Консультант по модулю FI, СО",,Москва,2003-06-27 11:13:18.040,
"Консультант по модулю SD, ММ",,Москва,2003-06-27 11:17:43.040,
Product Marketing Manager,,Москва,2003-10-06 00:00:00.040,
Business Development Manager,,Москва,2003-10-06 00:00:00.040,
Консультант в группу BI (SAP BW/SEM),,Москва,2003-09-15 00:00:00.040,
Дизайнер,,Москва,2003-08-23 00:00:00.040,
Менеджер по продукту в Отдел анализа и разработки,,Москва,2003-09-15 00:00:00.040,
Solution Architect - SAP Business One,,Москва,2003-08-22 00:00:00.040,
Менеджер по работе с клиентами в Промышленный сектор,,Москва,2003-09-15 00:00:00.040,
Программист 1С,39362.83,Москва,2003-08-22 00:00:00.040,USD
Специалист по Quorum,,Москва,2003-08-29 00:00:00.040,
Сотрудник Help Desk Банка,,Москва,2003-09-23 00:00:00.040,
"Специалист по сопровождению ИС ""Scala""",,Москва,2003-09-02 00:00:00.040,
Cпециалист в отдел внедрения,36654.96,Москва,2003-09-25 00:00:00.040,USD
Специалист Scala,,Москва,2003-09-01 00:00:00.040,
Application Engineer (Job# 257148),,Нижний Новгород,2003-12-16 00:00:00.030,
Application Engineer (Job# 257136),,Нижний Новгород,2003-12-16 00:00:00.030,
Менеджер по продажам телекоммуникационного оборудования,75952.25,Москва,2003-07-09 12:23:21.040,USD
Key Account Manager,75697.75,Москва,2003-08-20 00:00:00.040,USD
Продакт менеджер по серверному оборудованию,45818.7,Москва,2003-09-30 00:00:00.040,USD
Sales engineer/technical pre-sale,76364.5,Москва,2003-09-30 00:00:00.040,USD
Program Coordinator (Job# 257159),,Москва,2003-09-01 00:00:00.040,
Program Coordinator (Job# 257158),,Москва,2003-12-16 00:00:00.030,
Менеджер по продажам,,Москва,2003-10-03 00:00:00.040,
Менеджер по развитию учебного бизнеса,,Москва,2003-10-03 00:00:00.040,
Менеджер по развитию бизнеса (Руководитель проекта платежных систем).,,Москва,2003-10-03 00:00:00.040,
Applications Engineer (Job# 257161),,Нижний Новгород,2003-07-16 11:17:11.040,
Консультант по внедрению (Oracle E-Business Suite),61228.4,Москва,2003-10-27 00:00:00.030,USD
"Консультант-разработчик (Developer 2000/6i (Forms, Reports)",30380.9,Москва,2003-07-16 18:31:53.040,USD
Install Engineer (Job# 220879),,Нижний Новгород,2003-07-16 20:32:37.040,
Intel Tools Business Development Manager (Job# 257157),,Нижний Новгород,2003-07-16 20:36:55.040,
Release Manager (Job# 260050),,Нижний Новгород,2003-07-16 20:41:57.040,
НАЧАЛЬНИК ПРОЕКТНОГО ОТДЕЛА (СЛАБОТОЧНЫЕ СИСТЕМЫ),,Санкт-Петербург,2003-07-17 10:07:35.040,
"БИЗНЕС АНАЛИТИК ИНФОРМАЦИОННЫХ СИСТЕМ, АРХИТЕКТОР БАЗ ДАННЫХ",30380.9,Москва,2003-07-17 11:25:13.040,USD
Главный специалист отдела эксплуатации и технического обслуживания,,Москва,2003-10-06 00:00:00.040,
Специалист отдела эксплуатации и технического обслуживания Управления информационной техники и связи,,Москва,2003-10-06 00:00:00.040,
Системный администратор,24304.72,Москва,2003-07-17 15:47:04.040,USD
Специалист отдела труда и заработной платы.,36737.04,Москва,2003-10-06 00:00:00.040,USD
Business Development Manager,,Москва,2003-10-06 00:00:00.040,
Pre-Sales Manager,,Москва,2003-10-06 00:00:00.040,
Sales Manager,,Москва,2003-10-06 00:00:00.040,
Sales Manager (Oil and Gas),,Москва,2003-10-06 00:00:00.040,
Sales Manager (Government),,Москва,2003-10-06 00:00:00.040,